"VI name";;"string type";;"Key";;"English";;"Russian"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"app_title";;"A603 - Dock Audit";;"A603 - Dock Audit"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"Dock Audit";;"Dock Audit";;"Dock Audit"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"Current Batch";;"Current Batch";;"Текущая партия"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"Errors";;"Errors";;"Ошибки"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"input_header";;"INPUT";;"Вход"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"gear_info_summary_header";;"GEAR INFO SUMMARY";;"Информация о детали"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"reload_batch_size";;"Batch Size:";;"Размер партии:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"reload_part_number";;"Part Number:";;"Номер партии:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"current_batch_count";;"Currently In Batch:";;"В текущей партии:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"PRINTER_connection_indicator_global";;"Printer Connection Status:";;"Статус подключения принтера:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"DOCK_start_finish_batch.BoolText";;"START/FINISH BATCH";;"Старт/Закрытие партии"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"BATCH_SIZE_selector";;"Batch Size: ";;"Размер партии: "
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"REFERENCE_selector";;"Reference: ";;"Тип детали: "
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"USER_login_logout.BoolText";;"LOG IN / LOG OUT";;"LOG IN / LOG OUT"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"SQL_connection_indicator_global";;"SQL Connection Status:";;"Статус подключения SQL:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"ERROR_indicator_global";;"Application Status:";;"Статус программы:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"current_access_level";;"Access level:";;"Уровень доступа:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"current_username";;"Logged in as:";;"Вход под ID:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"gear_NOK.BoolText";;"GEAR NOK";;"ДЕТАЛЬ NOK"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"gear_OK.BoolText";;"GEAR OK";;"ДЕТАЛЬ OK"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"DOCK_clear_gear_data.BoolText";;"CLEAR GEAR DATA";;"ОЧИСТИТЬ ДАННЫЕ"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"DOCK_read_gear_data.BoolText";;"READ GEAR DATA";;"СЧИТАТЬ ДАННЫЕ"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"DOCK_gear_serial";;"Gear Serial:";;"Номер детали:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"batch_code";;"Batch No:";;"Номер партии:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"last_station";;"Last Station:";;"Последняя станция:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"pinion_serial";;"Pinion No:";;"Номер шестерни:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"creation_time";;"Time:";;"Время:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"last_status";;"Last Status:";;"Последний статус:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"ID";;"ID:";;"ID:"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"REPORT_clear.BoolText";;"CLEAR BATCH INFO";;"Очистить информацию о партии"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"REPORT_reload.BoolText";;"REFRESH BATCH INFO";;"Обновить информацию о партии"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"ERROR_clear.BoolText";;"CLEAR ERRORS";;"Очистить ошибки"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"ERROR_indicator_tab.False";;"OK";;"OK"
"DOCK_AUDIT_MAIN.vi";;"Front Panel";;"ERROR_indicator_tab.True";;"ERROR";;"Ошибка"
"DOCK_create_menu_bar.vi";;"Block Diagram";;"Exit";;"Exit";;"Выход"
"about_window.vi";;"Front Panel";;"OK.BoolText";;"OK";;"OK"
"database_password_prompt.vi";;"Front Panel";;"Cancel.BoolText";;"Cancel";;"Выход"
"DOCK_LOGIN_scan_barcode.vi";;"Front Panel";;"waiting_for_barcode_scan_msg";;"Waiting for barcode scan...";;"Ожидание сканирования ID"
"DOCK_LOGIN_scan_barcode.vi";;"Front Panel";;"cancel_barcode_scan.BoolText";;"CANCEL";;"Выход"
"DOCK_MAIN_choose_batch_to_reload.vi";;"Front Panel";;"reload.BoolText";;"RELOAD";;"Загрузить"
"DOCK_MAIN_choose_batch_to_reload.vi";;"Front Panel";;"cancel.BoolText";;"CANCEL";;"Выход"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"print_label_header";;"Print Label";;"Печать этикетки"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"packager";;"Packager:";;"Упаковщик:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"AUSS, TS";;"AUSS, TS:";;"AUSS, TS:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"batch_number";;"Batch number:";;"Номер партии:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"PSW_number";;"PSW number:";;"PSW номер:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"part_name";;"Part name:";;"Part name:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"part_number";;"Part number:";;"Part number:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"quantity";;"Quantity:";;"Количество:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"packaging_date";;"Packaging date:";;"Дата упаковки:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"barcode";;"Barcode:";;"Штрих-код:"
"DOCK_PRINTER_print_label_manually.vi";;"Front Panel";;"print.BoolText";;"PRINT";;"Печать"
"DOCK_AUDIT_MAIN.vi";;"Block Diagram";;"START NEW BATCH";;"START NEW BATCH";;"Старт новой партии"
"DOCK_AUDIT_MAIN.vi";;"Block Diagram";;"Login";;"Login";;"Авторизация"
