"VI name";;"string type";;"Key";;"English";;"Russian"
"OBJ_MAIN.vi";;"Front Panel";;"app_title";;"A603 - OBJ Position";;"A603 - OBJ Position"
"OBJ_MAIN.vi";;"Front Panel";;"OBJ Test";;"OBJ Test";;"OBJ Test"
"OBJ_MAIN.vi";;"Front Panel";;"Errors";;"Errors";;"Ошибки"
"OBJ_MAIN.vi";;"Front Panel";;"input_header";;"INPUT";;"ВХОДНЫЕ ДАННЫЕ"
"OBJ_MAIN.vi";;"Front Panel";;"gear_info_summary_header";;"GEAR INFO SUMMARY";;"ОСНОВНАЯ ИНФОРМАЦИЯ О РМ"
"OBJ_MAIN.vi";;"Front Panel";;"measurement_history_header";;"MEASUREMENT HISTORY";;"ИСТОРИЯ ИЗМЕРЕНИЙ"
"OBJ_MAIN.vi";;"Front Panel";;"tooling_name";;"Reference: ";;"Reference:"
"OBJ_MAIN.vi";;"Front Panel";;"USER_login_logout.BoolText";;"LOG IN / LOG OUT";;"LOG IN / LOG OUT"
"OBJ_MAIN.vi";;"Front Panel";;"SQL_connections_indicator_global";;"SQL Connection Status:";;"SQL Connection Status:"
"OBJ_MAIN.vi";;"Front Panel";;"ERROR_indicator_global";;"Application Status:";;"Application Status:"
"OBJ_MAIN.vi";;"Front Panel";;"current_access_level";;"Access level:";;"Уровень доступа:"
"OBJ_MAIN.vi";;"Front Panel";;"current_username";;"Logged in as:";;"Имя пользователя:"
"OBJ_MAIN.vi";;"Front Panel";;"OBJ_clear_history.BoolText";;"CLEAR HISTORY";;"ОЧИСТИТЬ ИСТОРИЮ"
"OBJ_MAIN.vi";;"Front Panel";;"OBJ_clear_test_data.BoolText";;"CLEAR TEST DATA";;"ОЧИСТИТЬ ДАННЫЕ"
"OBJ_MAIN.vi";;"Front Panel";;"test_tristate_indicator";;"test_tristate_indicator";;"test_tristate_indicator"
"OBJ_MAIN.vi";;"Front Panel";;"OBJ_perform_test.BoolText";;"PERFORM TEST";;"ЗАПУСК ТЕСТА"
"OBJ_MAIN.vi";;"Front Panel";;"OBJ_gear_serial";;"Gear Serial:";;"Номер РМ:"
"OBJ_MAIN.vi";;"Front Panel";;"OBJ_tool_serial";;"Tooling ID:";;"Оснастка:"
"OBJ_MAIN.vi";;"Front Panel";;"batch_code";;"Batch No:";;"Номер партии:"
"OBJ_MAIN.vi";;"Front Panel";;"last_station";;"Last Station:";;"Послед. станция:"
"OBJ_MAIN.vi";;"Front Panel";;"pinion_serial";;"Pinion No:";;"Номер шестерни:"
"OBJ_MAIN.vi";;"Front Panel";;"creation_time";;"Time:";;"Время:"
"OBJ_MAIN.vi";;"Front Panel";;"last_status";;"Last Status:";;"Послед. статус:"
"OBJ_MAIN.vi";;"Front Panel";;"ID";;"ID:";;"ID:"
"OBJ_MAIN.vi";;"Front Panel";;"ERROR_clear.BoolText";;"CLEAR ERRORS";;"ОЧИСТИТЬ ОШИБКИ"
"OBJ_MAIN.vi";;"Front Panel";;"ERROR_indicator_tab.False";;"OK";;"OK"
"OBJ_MAIN.vi";;"Front Panel";;"ERROR_indicator_tab.True";;"ERROR";;"ОШИБКА"
"about_window.vi";;"Front Panel";;"OK.BoolText";;"OK";;"OK"
"database_password_prompt.vi";;"Front Panel";;"Cancel.BoolText";;"Cancel";;"Отмена"
"OBJ_LOGIN_scan_barcode.vi";;"Front Panel";;"waiting_for_barcode_scan_msg";;"Waiting for barcode scan...";;"ОТСКАНИРУЙТЕ КОД..."
"OBJ_LOGIN_scan_barcode.vi";;"Front Panel";;"cancel_barcode_scan.BoolText";;"CANCEL";;"ОТМЕНА"
"OBJ_MAIN.vi";;"Block Diagram";;"Login";;"Login";;"Login"
"OBJ_MAIN.vi";;"Block Diagram";;"Scanned card not in database!\nCard: %s\nHash: %s";;"Scanned card not in database!\nCard: %s\nHash: %s";;"Данные не найдены в базе!\nCard: %s\nHash: %s"
"OBJ_MAIN.vi";;"Block Diagram";;"READ REFERENCE LIST";;"READ REFERENCE LIST";;"ЧТЕНИЯ СПИСКА REFERENCE"
"OBJ_MAIN.vi";;"Block Diagram";;"GEAR DATA READ";;"GEAR DATA READ";;"ДАННЫЕ О РМ СЧИТАНЫ"
"OBJ_MAIN.vi";;"Block Diagram";;"READING GEAR DATA";;"READING GEAR DATA";;"ЧТЕНИЕ ДАННЫХ О РМ"
"OBJ_MAIN.vi";;"Block Diagram";;"SAVING RESULTS";;"SAVING RESULTS";;"СОХРАНЕНИЕ РЕЗУЛЬТАТА"
"OBJ_MAIN.vi";;"Block Diagram";;"RESULTS SAVE";;"RESULTS SAVE";;"РЕЗУЛЬТАТ СОХРАНЕН"
"OBJ_MAIN.vi";;"Block Diagram";;"DEVICE READ TIMED OUT - CHECK ERRORS";;"DEVICE READ TIMED OUT - CHECK ERRORS";;"ПРЕВЫШЕНО ВРЕМЯ ОЖИДАНИЯ ОТВЕТА ОТ УСТРОЙСТВА"
"OBJ_MAIN.vi";;"Block Diagram";;"READING MEASUREMENTS";;"READING MEASUREMENTS";;"ВЫПОЛНЯЕТСЯ ИЗМЕРЕНИЕ..."
"OBJ_MAIN.vi";;"Block Diagram";;"READY FOR TEST";;"READY FOR TEST";;"ОТСКАНИРУЙТЕ НОМЕР РМ"
"OBJ_MAIN.vi";;"Block Diagram";;"SCAN TOOLING ID";;"SCAN TOOLING ID";;"ОТСКАНИРУЙТЕ НОМЕР ОСНАСТКИ"
"OBJ_MAIN.vi";;"Block Diagram";;"Automatic Logout";;"Automatic Logout";;"Automatic Logout"
"OBJ_MAIN.vi";;"Block Diagram";;"Automatic user logout was performed due to inactivity";;"Automatic user logout was performed due to inactivity";;"Автоматический выход из под учетной записи пользователя. В связи с отсутствием активности."
"OBJ_MAIN.vi";;"Block Diagram";;"NOT COMPILED!";;"NOT COMPILED!";;"NOT COMPILED!"
"OBJ_MAIN.vi";;"Block Diagram";;"SQL Proxy Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2020\n\n+48 (12) 256-77-90\naumatic.com";;"SQL Proxy Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2020\n\n+48 (12) 256-77-90\naumatic.com";;"SQL Proxy Application\nMSG Assembly Line\nA603A00\n\nAumatic sp. z o.o.\nPilsudskiego 22\n32-050 Skawina\nPOLAND\n\nCOMPILATION DATE: %s\nCOMPILATION TIME: %s\nJakub Longa, 2020\n\n+48 (12) 256-77-90\naumatic.com"
"OBJ_MAIN.vi";;"Block Diagram";;"Yes";;"Yes";;"Да"
"OBJ_MAIN.vi";;"Block Diagram";;"No";;"No";;"Нет"
"OBJ_MAIN.vi";;"Block Diagram";;"Are you sure you want to exit the application?";;"Are you sure you want to exit the application?";;"Вы уверены, что хотите выйти из приложения?"
"check_if_file_exists.vi";;"Block Diagram";;"Requested file (%s) does not exist.";;"Requested file (%s) does not exist.";;"Запрашиваемого файла (%s) не существует."
"check_SQL_statement_type.vi";;"Block Diagram";;"Error with manual SQL statement. Expected SELECT statement, received statement:\n%s";;"Error with manual SQL statement. Expected SELECT statement, received statement:\n%s";;"Error with manual SQL statement. Expected SELECT statement, received statement:\n%s"
"check_SQL_statement_type.vi";;"Block Diagram";;"Error with manual SQL statement. Expected INSERT statement, received statement:\n%s";;"Error with manual SQL statement. Expected INSERT statement, received statement:\n%s";;"Error with manual SQL statement. Expected INSERT statement, received statement:\n%s"
"check_SQL_statement_type.vi";;"Block Diagram";;"Error with manual SQL statement. Expected UPDATE statement, received statement:\n%s";;"Error with manual SQL statement. Expected UPDATE statement, received statement:\n%s";;"Error with manual SQL statement. Expected UPDATE statement, received statement:\n%s"
"check_SQL_statement_type.vi";;"Block Diagram";;"Error with UPDATE SQL statement. No WHERE condition detected. Received statement:\n%s";;"Error with UPDATE SQL statement. No WHERE condition detected. Received statement:\n%s";;"Error with UPDATE SQL statement. No WHERE condition detected. Received statement:\n%s"
"check_SQL_statement_type.vi";;"Block Diagram";;"Error with manual SQL statement. Expected DELETE statement, received statement:\n%s";;"Error with manual SQL statement. Expected DELETE statement, received statement:\n%s";;"Error with manual SQL statement. Expected DELETE statement, received statement:\n%s"
"check_SQL_statement_type.vi";;"Block Diagram";;"Error with DELETE SQL statement. No WHERE condition detected. Received statement:\n%s";;"Error with DELETE SQL statement. No WHERE condition detected. Received statement:\n%s";;"Error with DELETE SQL statement. No WHERE condition detected. Received statement:\n%s"
"database_password_prompt.vi";;"Block Diagram";;"Cannot login to SQL Database using provided Username and Password.\nCheck if Database is online.\nCheck Username in application Configuration File, and/or enter correct\nPassword in the field below:";;"Cannot login to SQL Database using provided Username and Password.\nCheck if Database is online.\nCheck Username in application Configuration File, and/or enter correct\nPassword in the field below:";;"Невозможно войти под учётной записью пользователя.\nПроверьте работает ли база данных.\nПроверьте корректность имени в конфигурационном файле, и/или введите корректный\nПароль в поле ниже:"
"DB Tools Delete Data EDITED.vi";;"Block Diagram";;"NOT EXECUTED!";;"NOT EXECUTED!";;"НЕ ВЫПОЛНЯЕТСЯ!"
