"VI name";;"string type";;"Key";;"English";;"Russian"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"app_title";;"A603 - PLC Proxy";;"(ий)A603 - PLC Proxy"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"Diagnostics";;"Diagnostics";;"(ий)Diagnostics"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"Errors";;"Errors";;"(ий)Errors"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"SQL_connections_indicator_global";;"SQL Connections Status:";;"(ий)SQL Connections Status:"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"PLC_connections_indicator_global";;"PLC Connections Status:";;"(ий)PLC Connections Status:"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"error_indicator_global";;"Application Status:";;"(ий)Application Status:"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"DIAGNOSTICS_save_log.BoolText";;"SAVE LOG";;"(ий)SAVE LOG"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"DIAGNOSTICS_all_stations_messages.BoolText";;"ALL STATIONS\nMESSAGES";;"(ий)ALL STATIONS\nMESSAGES"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"ERRORS_clear.BoolText";;"CLEAR ERRORS";;"(ий)CLEAR ERRORS"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"error_indicator_tab.False";;"OK";;"(ий)OK"
"PLC_PROXY_MAIN.vi";;"Front Panel";;"error_indicator_tab.True";;"ERROR";;"(ий)ERROR"
"about_window.vi";;"Front Panel";;"OK.BoolText";;"OK";;"(ий)OK"
"database_password_prompt.vi";;"Front Panel";;"Cancel.BoolText";;"Cancel";;"(ий)Cancel"
"PROXY_display_messages_history.vi";;"Front Panel";;"clear_messages.BoolText";;"CLEAR";;"(ий)CLEAR"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 10";;"Station 10";;"(ий)Station 10"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 20";;"Station 20";;"(ий)Station 20"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 30";;"Station 30";;"(ий)Station 30"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 40";;"Station 40";;"(ий)Station 40"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 50";;"Station 50";;"(ий)Station 50"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 60";;"Station 60";;"(ий)Station 60"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 70";;"Station 70";;"(ий)Station 70"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 80";;"Station 80";;"(ий)Station 80"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 90";;"Station 90";;"(ий)Station 90"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 100";;"Station 100";;"(ий)Station 100"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 110";;"Station 110";;"(ий)Station 110"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 120";;"Station 120";;"(ий)Station 120"
"PROXY_display_messages_history.vi";;"Front Panel";;"Station 165";;"Station 165";;"(ий)Station 165"
"PROXY_display_messages_history.vi";;"Front Panel";;"ALL";;"ALL";;"(ий)ALL"
"PROXY_display_messages_history.vi";;"Front Panel";;"station_selector";;"Station: ";;"(ий)Station: "
