"TMP - VI name";;"TMP - string type";;"Key";;"English";;"Russian"
"TMP";;"TMP";;"Font";;"Dlg Font";;"Dlg Font"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_toggle_all_results.False";;"OFF";;"OFF"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_toggle_all_results.True";;"ON";;"ON"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_toggle_all_results";;"REWORK_toggle_all_results";;"REWORK_toggle_all_results"
"REWORK_MAIN.vi";;"Front Panel";;"USER_login_logout.BoolText";;"LOG IN / LOG OUT";;"LOG IN / LOG OUT"
"REWORK_MAIN.vi";;"Front Panel";;"USER_login_logout";;"USER_login_logout";;"USER_login_logout"
"REWORK_MAIN.vi";;"Front Panel";;"SQL_connections_indicator_global.False";;"OFF";;"OFF"
"REWORK_MAIN.vi";;"Front Panel";;"SQL_connections_indicator_global.True";;"ON";;"ON"
"REWORK_MAIN.vi";;"Front Panel";;"SQL_connections_indicator_global";;"SQL Connection Status:";;"SQL Connection Status:"
"REWORK_MAIN.vi";;"Front Panel";;"PLC_connections_indicator_global.False";;"OFF";;"OFF"
"REWORK_MAIN.vi";;"Front Panel";;"PLC_connections_indicator_global.True";;"ON";;"ON"
"REWORK_MAIN.vi";;"Front Panel";;"PLC_connections_indicator_global";;"PLC Connection Status:";;"PLC Connection Status:"
"REWORK_MAIN.vi";;"Front Panel";;"STOP.BoolText";;"STOP";;"STOP"
"REWORK_MAIN.vi";;"Front Panel";;"STOP";;"STOP";;"STOP"
"REWORK_MAIN.vi";;"Front Panel";;"ERROR_indicator_global.False";;"OFF";;"OFF"
"REWORK_MAIN.vi";;"Front Panel";;"ERROR_indicator_global.True";;"ON";;"ON"
"REWORK_MAIN.vi";;"Front Panel";;"ERROR_indicator_global";;"Application Status:";;"Application Status:"
"REWORK_MAIN.vi";;"Front Panel";;"current_access_level";;"Access level:";;"Access level:"
"REWORK_MAIN.vi";;"Front Panel";;"current_username";;"Logged in as:";;"Logged in as:"
"REWORK_MAIN.vi";;"Front Panel";;"main_tab";;"main_tab";;"main_tab"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_clear_gear_data.BoolText";;"CLEAR GEAR DATA";;"CLEAR GEAR DATA"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_clear_gear_data";;"REWORK_clear_gear_data";;"REWORK_clear_gear_data"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_read_data.BoolText";;"READ GEAR DATA";;"READ GEAR DATA"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_read_data";;"REWORK_read_data";;"REWORK_read_data"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_destination.Item0";;"USER ACCESS LEVEL TOO LOW TO PERFORM REWORK";;"USER ACCESS LEVEL TOO LOW TO PERFORM REWORK"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_destination";;"Rework: ";;"Rework: "
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_toggle_all_results.BoolText";;"SHOW ALL RESULTS";;"SHOW ALL RESULTS"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_commit.BoolText";;"REWORK GEAR";;"REWORK GEAR"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_commit";;"REWORK_commit";;"REWORK_commit"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_records";;"REWORK_records";;"REWORK_records"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_status";;"REWORK_status";;"REWORK_status"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_gear_serial";;"Gear Serial:";;"Gear Serial:"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item0";;"ALL";;"ALL"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item1";;"Station 10";;"Station 10"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item2";;"Station 20";;"Station 20"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item3";;"Station 30";;"Station 30"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item4";;"Station 40";;"Station 40"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item5";;"Station 50";;"Station 50"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item6";;"Station 60";;"Station 60"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item7";;"Station 70";;"Station 70"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item8";;"Station 80";;"Station 80"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item9";;"Station 90";;"Station 90"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item10";;"Station 100";;"Station 100"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item11";;"Station 110";;"Station 110"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item12";;"Station 120";;"Station 120"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_station_filter.Item13";;"Station 160";;"Station 160"
