"VI name";;"string type";;"Key";;"English";;"Russian"
"REWORK_MAIN.vi";;"Front Panel";;"app_title";;"A603 - Rework";;"A603 - Rework"
"REWORK_MAIN.vi";;"Front Panel";;"Rework";;"Rework";;"Rework"
"REWORK_MAIN.vi";;"Front Panel";;"Diagnostics";;"Diagnostics";;"Диагностика"
"REWORK_MAIN.vi";;"Front Panel";;"Errors";;"Errors";;"Ошибки"
"REWORK_MAIN.vi";;"Front Panel";;"input_header";;"INPUT";;"ВХОДНЫЕ ДАННЫЕ"
"REWORK_MAIN.vi";;"Front Panel";;"gear_info_summary_header";;"GEAR INFO SUMMARY";;"ОСНОВНАЯ ИНФОРМАЦИЯ О РМ"
"REWORK_MAIN.vi";;"Front Panel";;"USER_login_logout.BoolText";;"LOG IN / LOG OUT";;"LOG IN / LOG OUT"
"REWORK_MAIN.vi";;"Front Panel";;"SQL_connections_indicator_global";;"SQL Connection Status:";;"SQL Connection Status:"
"REWORK_MAIN.vi";;"Front Panel";;"PLC_connections_indicator_global";;"PLC Connection Status:";;"PLC Connection Status:"
"REWORK_MAIN.vi";;"Front Panel";;"ERROR_indicator_global";;"Application Status:";;"Application Status:"
"REWORK_MAIN.vi";;"Front Panel";;"current_access_level";;"Access level:";;"Уровень доступа:"
"REWORK_MAIN.vi";;"Front Panel";;"current_username";;"Logged in as:";;"Имя пользователя:"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_clear_gear_data.BoolText";;"CLEAR GEAR DATA";;"УДАЛИТЬ ДАННЫЕ"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_read_data.BoolText";;"READ GEAR DATA";;"СЧИТАТЬ ДАННЫЕ"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_destination";;"Rework: ";;"Доработать: "
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_toggle_all_results.BoolText";;"SHOW/HIDE ALL RESULTS";;"СКРЫТЬ / ПОКАЗАТЬ ВСЕ РЕЗУЛЬТАТЫ"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_commit.BoolText";;"REWORK GEAR";;"ДОРАБОТАТЬ РМ"
"REWORK_MAIN.vi";;"Front Panel";;"REWORK_gear_serial";;"Gear Serial:";;"Номер РМ:"
"REWORK_MAIN.vi";;"Front Panel";;"ALL";;"ALL";;"ВСЕ"
"REWORK_MAIN.vi";;"Front Panel";;"Station 10";;"Station 10";;"Станция 10"
