"VI name";;"string type";;"Key";;"English";;"Russian"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"app_title";;"A603 - SQL Client";;"(טי)A603 - SQL Client"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Reports";;"Reports";;"(טי)Reports"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Reference Editor";;"Reference Editor";;"(טי)Reference Editor"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Archivisation Editor";;"Archivisation Editor";;"(טי)Archivisation Editor"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"User Management";;"User Management";;"(טי)User Management"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Manual SQL Requests";;"Manual SQL Requests";;"(טי)Manual SQL Requests"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Text SQL Requests";;"Text SQL Requests";;"(טי)Text SQL Requests"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Errors";;"Errors";;"(טי)Errors"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Gear";;"Gear";;"(טי)Gear"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Dates";;"Dates";;"(טי)Dates"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Production Batch";;"Production Batch";;"(טי)Production Batch"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Operation";;"Operation";;"(טי)Operation"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Config History";;"Config History";;"(טי)Config History"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Audits";;"Audits";;"(טי)Audits"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"OK/NOK Count";;"OK/NOK Count";;"(טי)OK/NOK Count"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Reworks";;"Reworks";;"(טי)Reworks"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Pace";;"Pace";;"(טי)Pace"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Customer Batch";;"Customer Batch";;"(טי)Customer Batch"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"Gear Components";;"Gear Components";;"(טי)Gear Components"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"PLC_PROXY_connection_indicator";;"PLC Proxy Connection Status:";;"(טי)PLC Proxy Connection Status:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"USER_login_logout.BoolText";;"LOG IN / LOG OUT";;"(טי)LOG IN / LOG OUT"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_connection_indicator";;"SQL Connection Status:";;"(טי)SQL Connection Status:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"error_indicator_global";;"Application Status:";;"(טי)Application Status:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"current_access_level";;"Access level:";;"(טי)Access level:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"current_username";;"Logged in as:";;"(טי)Logged in as:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_save_csv.BoolText";;"SAVE CSV";;"ÑÎÕÐ CSV"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_clear.BoolText";;"CLEAR REPORT";;"(טי)CLEAR REPORT"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_page_last.BoolText";;"LAST PAGE >>";;"(טי)LAST PAGE >>"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_page_next.BoolText";;"NEXT PAGE >";;"(טי)NEXT PAGE >"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_page_previous.BoolText";;"< PREVIOUS PAGE";;"(טי)< PREVIOUS PAGE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_page_first.BoolText";;"<< FIRST PAGE";;"(טי)<< FIRST PAGE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"REPORT_save_pdf.BoolText";;"SAVE PDF";;"ÑÎÕÐ PDF"
